grant_id,grant_val
51880,R01 NS098813
51884,JPMJCR1656
51888,18H05124
51892,26293046
51896,26640041
51900,17H05563
52220,"Clinical Investigator Award,IA-039"
52224,Postgraduate Scholarship
52228,Immunotherapy NeTwork (iTNT) Program
52232,Intership
52236,Postdoctoral Fellowship for Overseas Researchers and a Guglietti Fellowship
52240,"Clinical Investigator Award, IA-039"
52244,Innovation Accelerator Fund
52248,Postdoctoral Fellowship for Overseas Researchers
52570,GM121971
52574,957/15
52578,R01-GM063691
52582,W911NF-17-1-0417
52586,R35 GM134895
52590,2017158
52594,2013275
52598,MRSEC DMR-1420382
54200,R01 CA049506
54266,P30 CA023074
63366,T32 NS043126
66480,R01 HL146782
67062,P30 DK111022
71272,P30 CA013148
71276,T32 CA183926
72392,BB/G01616X/1
72674,001
72874,R01 EY030521
73826,R01 NS102937
73830,R01 NS105628
73866,R01 DK063158
74136,R01 EB021336
74228,P42 ES016465
74232,T32 ES007060
74688,P20 GM103492
74692,P20 GM113226
74696,P42 ES023716
75484,R01 AI128202
75700,R01 HS020270
75704,R03 MD011654
76048,P50 CA058187
76052,IK2 BX001282
76056,R01 CA162226
76060,P30 CA046934
76064,R01 CA236222
77438,P41 GM103533
77442,RF1 AG053959
77446,R01 GM103551
77450,R01 GM133981
77454,F31 AG055257
78060,U54 HG006504
78064,P50 DA042012
78068,R01 NS048453
78072,U54 HG003067
78076,T32 GM008666
78080,T32 GM007790
78084,F31 MH116588
79380,R35 GM128822
79434,U01 MH093349
79438,ZIA MH002782
79820,80NSSC18K0353
79976,80NSSC18K0555
80044,K08 DA037525
80282,F32 MH114306
80468,P51 OD011092
80472,R01 NS055064
80476,R01 EB017133
80480,R01 AA024757
80484,R01 AA021981
80864,R01 CA087472
80868,U01 CA154240
84024,P30 AG021684
84028,UL1 TR001881
84032,P30 AG021684
84914,T32 MH093311
85320,R01 DK092127
86272,R01 HL133616
98848,PDF
98852,MPRG
98856,GRUPIN: IDI/2018/000151
99008,DE170100167
99012,2015-02375
99016,2015.0030
99020,2015.0275
99024,17 CVD 03
99028,AIRC IG 18683
99454,F06 TW002075
99458,R01 ES007171
99462,F31 ES026488
103210,P30 ES005605
105758,R00 ES022986
105762,T32 ES014562
105766,UH3 OD023286
105770,K23 ES024803
105774,R01 ES030101
105778,T32 ES007069
105782,R01 ES028800
105786,R01 ES021447
105790,R01 HD034568
108840,ZIA BC011525
109552,P20 GM121288
110342,R01 DK046865
110346,R21 CA133608
113753,15F721
114043,n/a
114399,RIA-MCM/2019
114403,RIA-SP/2019
114561,SFB-1270/1 - 299150580
114691,CMRPG8H0241
115117,NRF-2017R1A2B4011333
115207,2017R1A2A1A17069297
115467,017/26/M/ST5/00437
115687,goszadanie no. 2019-1080
115817,Project ID 637541
116375,-
116867,P4-0053
116957,1160892
116961,N/A
117079,"PI17/02183, PI17/02188 and PI19/00785"
117083,10/2018
117087,CIBEROBN
117257,HI17C0970
117261,HI16C0992
117507,T1EDK- 04448
117511,02/2019
117625,USDA-Agricultural Research Service Project 6026-51000-012-06S
117629,Award # 8UG1OD024945
118137,K/ZDS/003672 and K/DSC/001371
118465,CHE-1504217
118469,CHE-1504217
118549,CGL2016-75550-R
118553,2017/391
118699,18-73-00187
118931,"the Dental Research Center, Dentistry Research Institute, Tehran University of Medical science, Tehran Iran"
119503,P30 CA008748
120267,R21 CA227483
120271,R35 GM125028
120275,R35 GM128915
120419,U01 AI131393
122095,R01 ES023350
126541,P42 ES004940
128019,R01 ES024279
136825,R01 ES027845
136829,T32 ES007322
136833,P30 ES009089
136837,R25 CA134286
136841,R21 ES024841
136845,MOP-84551
137441,MR/S015078/1
137445,MC_UU12017/12
137449,MC_UU_12017/11
137453,MC_UU_12017/14
137457,SPHSU12
137461,SPHSU11
137465,SPHSU14
138657,P40 OD010440
139591,R35 GM133506
139595,R25 GM059298
141043,MR/R023883/1
141047,MC_UU_00005/18
142629,MOP - 81285
143427,R01 NS097776
143431,U01 NS058158
145087,R18 DK083934
145363,CC999999
150955,R01 DK117854
151485,R21 HL111775
151489,R56 HL147889
151735,102591/Z/13/Z
152233,HHSN268201300046C
152237,R56 DK101478
152241,RC2 HL102925
152245,U54 GM115428
152249,HHSN268201300047C
152253,R01 DK101478
152257,HHSN268201300048C
152261,R01 HL127564
152265,HHSN268201300050C
152269,RC2 HL102926
152273,K08 HG010155
152277,RG2000010
152281,HHSN268201300049C
152285,RC2 HL103010
152289,UM1 HG008895
152293,RC2 HL102924
152297,RC2 HL102923
152301,U54 HG003067
152305,IS_BRU_0211_20033
153077,R01 AI134766
153181,P50 AI150464
153185,R37 AI147868
153189,R01 AI147877
153193,R01 AI030927
153197,R01 AI093258
156093,R15 HD080511
156097,P40 OD018537
157769,U01 AI096299
157981,F30 HL128023
157985,R01 NS076628
157989,U19 NS104649
157993,R01 NS063226
157997,R01 EY022979
158001,R01 EB022913
158005,RF1 MH114276
158217,R01 NS074324
158221,R01 NS089616
158225,R01 NS110098
158229,T32 CA009110
158627,R21 AI135537
158631,UL1 TR000128
158873,COLL JLARAXR
159229,U01 MH103340
159233,R01 ES024988
159407,R01 AI102922
159411,R21 AI137843
159475,WT107881
159479,MC_UU_00002/4
161243,MOHW107-TDU-B-212-123004
161311,2018-ER6303-00
161421,2019-ER5101-00
161425,HI14C1324
161859,NRF-2016R1D1A1B03933410
161863,2018R1D1A1B07048821
162093,1520210
162715,UM1 AI068613
169289,R01 EB020640
170339,T32 AI007433
170609,U01 CA183848
170711,R01 CA196667
170715,R35 CA197616
170719,T32 EB001040
170723,U24 CA220245
171177,K24 MH110598
